score,steps_to_apple
1,10
2,11
3,11
4,12
5,12
6,14
7,13
8,15
9,15
10,12
11,18
12,17
13,18
14,20
15,20
16,17
17,20
18,23
19,16
20,16
21,26
22,21
23,15
24,28
25,26
26,24
27,30
28,26
29,32
30,20
31,19
32,29
33,20
34,33
35,32
36,19
37,36
38,23
39,38
40,36
41,37
42,28
43,41
44,39
45,27
46,39
47,31
48,47
49,47
50,22
51,29
52,50
53,49
54,43
55,38
56,24
57,24
58,49
59,51
60,48
61,36
62,33
63,46
64,24
65,38
66,58
67,62
68,28
69,25
70,58
71,65
72,63
73,59
74,29
75,56
76,51
77,29
78,65
79,63
80,35
81,55
82,42
83,40
84,52
85,68
86,29
87,63
88,77
89,72
90,52
91,53
92,40
93,54
94,43
95,36
96,37
97,65
98,78
99,30
100,88
1,10
2,11
3,11
4,12
5,11
6,13
7,13
8,14
9,15
10,18
11,14
12,16
13,18
14,15
15,17
16,16
17,17
18,17
19,23
20,22
21,20
22,26
23,15
24,22
25,20
26,28
27,23
28,29
29,25
30,33
31,24
32,34
33,25
34,21
35,30
36,37
37,29
38,36
39,21
40,22
41,20
42,21
43,35
44,33
45,36
46,40
47,32
48,37
49,44
50,47
51,46
52,21
53,24
54,41
55,21
56,34
57,33
58,27
59,46
60,49
61,49
62,25
63,55
64,34
65,33
66,52
67,48
68,53
69,39
70,35
71,25
72,45
73,62
74,55
75,25
76,48
77,47
78,56
79,44
80,61
81,65
82,48
83,61
84,69
85,48
86,60
87,41
88,32
89,53
90,69
91,42
92,55
93,35
94,65
95,48
96,68
97,69
98,38
99,31
100,53
1,10
2,11
3,11
4,11
5,11
6,14
7,12
8,14
9,16
10,14
11,16
12,16
13,17
14,19
15,16
16,14
17,18
18,19
19,14
20,19
21,16
22,19
23,17
24,23
25,21
26,18
27,28
28,19
29,23
30,21
31,25
32,33
33,17
34,22
35,30
36,33
37,20
38,39
39,33
40,35
41,20
42,42
43,32
44,27
45,28
46,45
47,31
48,42
49,26
50,29
51,40
52,37
53,21
54,29
55,31
